date,stars,forks,watchers,open_issues,releases,downloads_total,downloads_windows,downloads_macos,downloads_linux,update_checks,latest_tag,latest_downloads,views_14d,visitors_14d,clones_14d,cloners_14d
2026-08-31,0,0,0,0,15,59,23,26,10,476,v0.1.14,40,,,,
2026-09-01,0,0,0,0,19,82,29,35,18,500,v0.1.18,6,,,,
2026-09-02,1,0,0,0,21,112,41,45,26,519,v0.1.20,10,,,,
2026-09-03,1,0,0,0,23,127,43,54,30,527,v0.1.20,21,,,,
2026-09-04,1,0,0,0,23,127,43,54,30,531,v0.1.20,21,,,,
2026-09-05,1,0,0,0,24,140,46,59,35,545,v0.1.22,13,,,,
2026-09-06,1,0,0,0,24,140,46,59,35,549,v0.1.22,13,,,,
2026-09-07,1,0,0,0,24,148,47,63,38,555,v0.1.22,21,,,,
2026-09-08,1,0,0,0,24,149,48,63,38,563,v0.1.22,22,,,,
2026-09-09,1,0,0,0,24,149,48,63,38,571,v0.1.22,22,,,,
2026-09-10,1,0,0,0,24,149,48,63,38,581,v0.1.22,22,,,,
2026-09-11,1,0,0,0,24,149,48,63,38,589,v0.1.22,22,,,,
2026-09-12,1,0,0,0,24,149,48,63,38,597,v0.1.22,22,,,,
2026-09-13,1,0,0,0,27,170,54,69,47,698,v0.1.25,7,,,,
2026-09-14,1,0,0,0,27,170,54,69,47,704,v0.1.25,7,,,,
2026-09-15,1,0,0,0,27,170,54,69,47,712,v0.1.25,7,,,,
2026-09-16,1,0,0,0,27,170,54,69,47,715,v0.1.25,7,,,,
2026-09-17,1,0,0,0,27,170,54,69,47,717,v0.1.25,7,,,,
2026-09-18,1,0,0,0,27,170,54,69,47,718,v0.1.25,7,,,,
2026-09-19,1,1,0,0,27,170,54,69,47,724,v0.1.25,7,,,,
2026-09-20,1,1,0,0,27,170,54,69,47,727,v0.1.25,7,,,,
2026-09-21,1,1,0,0,27,170,54,69,47,735,v0.1.25,7,,,,
2026-09-22,1,1,0,0,28,175,56,71,48,745,v0.2.0,5,,,,
2026-09-23,1,1,0,0,27,171,55,68,48,756,v0.2.1,0,,,,
